Aug. 11, 2020   10:55:28
Amperometric i-t Curve
File: 200811_mer_meo_obj1_150_t2_106.bin
Data Source:  Experiment
Instrument Model:  CHI1000C
Header: 
Note: 

Init E (V) = -0.78
Sample Interval (s) = 5
Run Time (sec) = 4e+4
Quiet Time (sec) = 0
Sensitivity (A/V) = 1e-4


Channel 2:


Channel 3:


Channel 4:


Channel 5:


Channel 6:


Channel 7:

tp = 170.00s
ip = -1.739e-5A
Ap = -1.096e-3C

Channel 8:

tp = 180.00s
ip = -1.803e-5A
Ap = -1.649e-3C

Time/s, i1/A, i2/A, i3/A, i4/A, i5/A, i6/A, i7/A, i8/A

5.000e+0, 3.138e-5, 2.966e-5, 1.468e-5, 1.975e-5, 6.805e-6, 9.386e-6, -1.301e-6, -1.295e-6
1.000e+1, 2.905e-5, 2.848e-5, 1.517e-5, 1.899e-5, 6.345e-6, 8.992e-6, -1.195e-6, -1.198e-6
1.500e+1, 2.843e-5, 2.803e-5, 1.496e-5, 1.955e-5, 7.387e-6, 8.686e-6, -1.257e-6, -1.232e-6
2.000e+1, 2.886e-5, 2.762e-5, 1.557e-5, 1.936e-5, 7.118e-6, 8.613e-6, -1.195e-6, -1.236e-6
2.500e+1, 2.909e-5, 2.744e-5, 1.403e-5, 1.888e-5, 7.515e-6, 8.710e-6, -1.242e-6, -1.179e-6
3.000e+1, 2.835e-5, 2.739e-5, 1.514e-5, 1.955e-5, 6.985e-6, 8.677e-6, -1.180e-6, -1.203e-6
3.500e+1, 2.875e-5, 2.742e-5, 1.471e-5, 1.835e-5, 6.727e-6, 8.807e-6, -1.177e-6, -1.143e-6
4.000e+1, 2.862e-5, 2.752e-5, 1.422e-5, 1.881e-5, 6.700e-6, 8.657e-6, -1.170e-6, -1.189e-6
4.500e+1, 2.885e-5, 2.709e-5, 1.372e-5, 1.814e-5, 6.567e-6, 8.338e-6, -1.188e-6, -1.172e-6
5.000e+1, 2.864e-5, 2.722e-5, 1.372e-5, 1.852e-5, 6.449e-6, 8.995e-6, -1.146e-6, -1.151e-6
5.500e+1, 2.811e-5, 2.727e-5, 1.418e-5, 1.838e-5, 7.017e-6, 8.365e-6, -1.133e-6, -1.076e-6
6.000e+1, 2.784e-5, 2.705e-5, 1.391e-5, 1.885e-5, 7.062e-6, 8.987e-6, -1.126e-6, -1.107e-6
6.500e+1, 2.799e-5, 2.711e-5, 1.382e-5, 1.862e-5, 7.041e-6, 8.838e-6, -1.158e-6, -1.104e-6
7.000e+1, 2.816e-5, 2.724e-5, 1.281e-5, 1.857e-5, 7.408e-6, 8.425e-6, -1.112e-6, -1.095e-6
7.500e+1, 2.853e-5, 2.709e-5, 1.492e-5, 1.894e-5, 7.161e-6, 8.823e-6, -1.199e-6, -1.099e-6
8.000e+1, 2.807e-5, 2.732e-5, 1.398e-5, 1.860e-5, 6.739e-6, 8.333e-6, -1.139e-6, -1.098e-6
8.500e+1, 2.777e-5, 2.712e-5, 1.432e-5, 1.784e-5, 6.136e-6, 8.419e-6, -1.099e-6, -1.097e-6
9.000e+1, 2.784e-5, 2.701e-5, 1.423e-5, 1.808e-5, 6.777e-6, 8.712e-6, -1.118e-6, -1.127e-6
9.500e+1, 2.749e-5, 2.698e-5, 1.327e-5, 1.919e-5, 7.406e-6, 8.171e-6, -1.081e-6, -1.111e-6
1.000e+2, 2.771e-5, 2.705e-5, 1.353e-5, 1.858e-5, 6.561e-6, 8.232e-6, -1.078e-6, -1.118e-6
1.050e+2, 2.756e-5, 2.717e-5, 1.465e-5, 1.911e-5, 7.005e-6, 8.551e-6, -1.071e-6, -1.094e-6
1.100e+2, 2.760e-5, 2.714e-5, 1.564e-5, 1.831e-5, 6.649e-6, 8.858e-6, -1.070e-6, -1.041e-6
1.150e+2, 2.794e-5, 2.691e-5, 1.432e-5, 1.791e-5, 5.823e-6, 8.441e-6, -1.138e-6, -1.062e-6
1.200e+2, 2.753e-5, 2.690e-5, 1.509e-5, 1.785e-5, 6.693e-6, 8.465e-6, -1.127e-6, -1.061e-6
1.250e+2, 2.798e-5, 2.664e-5, 1.354e-5, 1.895e-5, 6.555e-6, 8.296e-6, -1.085e-6, -1.040e-6
1.300e+2, 2.841e-5, 2.709e-5, 1.507e-5, 1.840e-5, 7.367e-6, 8.561e-6, -1.063e-6, -1.045e-6
1.350e+2, 2.811e-5, 2.654e-5, 1.185e-5, 1.824e-5, 7.289e-6, 8.433e-6, -1.047e-6, -1.085e-6
1.400e+2, 2.849e-5, 2.681e-5, 1.380e-5, 1.823e-5, 6.221e-6, 8.269e-6, -1.046e-6, -1.051e-6
1.450e+2, 2.784e-5, 2.672e-5, 1.400e-5, 1.830e-5, 6.501e-6, 8.137e-6, -1.049e-6, -1.020e-6
1.500e+2, 2.807e-5, 2.642e-5, 1.379e-5, 1.901e-5, 7.380e-6, 8.173e-6, -1.087e-6, -1.008e-6
1.550e+2, 2.769e-5, 2.683e-5, 1.421e-5, 1.831e-5, 7.296e-6, 8.302e-6, -1.066e-6, -1.037e-6
1.600e+2, 2.777e-5, 2.641e-5, 1.467e-5, 1.777e-5, 7.025e-6, 8.659e-6, -1.085e-6, -1.009e-6
1.650e+2, 2.752e-5, 2.649e-5, 1.348e-5, 1.797e-5, 7.127e-6, 8.142e-6, -1.888e-5, -9.592e-7
1.700e+2, 2.757e-5, 2.681e-5, 1.378e-5, 1.811e-5, 6.900e-6, 8.069e-6, -2.140e-5, -9.776e-7
1.750e+2, 2.771e-5, 2.652e-5, 1.483e-5, 1.816e-5, 6.781e-6, 8.180e-6, -2.119e-5, -1.917e-5
1.800e+2, 2.725e-5, 2.650e-5, 1.396e-5, 1.844e-5, 7.063e-6, 8.273e-6, -2.107e-5, -2.055e-5
1.850e+2, 2.727e-5, 2.665e-5, 1.317e-5, 1.801e-5, 7.072e-6, 8.412e-6, -2.111e-5, -2.045e-5
1.900e+2, 2.788e-5, 2.647e-5, 1.378e-5, 1.839e-5, 6.183e-6, 8.031e-6, -2.087e-5, -2.035e-5
1.950e+2, 5.639e-5, 2.639e-5, 1.465e-5, 1.863e-5, 7.109e-6, 8.482e-6, -2.089e-5, -1.993e-5
2.000e+2, 5.500e-5, 5.949e-5, 1.373e-5, 1.850e-5, 6.510e-6, 8.161e-6, -2.056e-5, -2.027e-5
2.050e+2, 5.467e-5, 5.649e-5, 1.391e-5, 1.766e-5, 6.534e-6, 8.610e-6, -2.087e-5, -2.006e-5
2.100e+2, 5.484e-5, 5.683e-5, 1.316e-5, 1.823e-5, 7.051e-6, 8.684e-6, -1.974e-5, -1.965e-5
2.150e+2, 5.410e-5, 5.630e-5, 1.473e-5, 1.803e-5, 7.006e-6, 8.298e-6, -2.056e-5, -1.957e-5
2.200e+2, 5.383e-5, 5.596e-5, 1.397e-5, 1.829e-5, 6.854e-6, 7.419e-6, -1.993e-5, -1.950e-5
2.250e+2, 5.330e-5, 5.559e-5, 3.549e-5, 1.814e-5, 6.946e-6, 8.516e-6, -1.938e-5, -1.925e-5
2.300e+2, 5.291e-5, 5.481e-5, 3.562e-5, 3.739e-5, 6.246e-6, 7.677e-6, -1.888e-5, -1.919e-5
2.350e+2, 5.269e-5, 5.492e-5, 3.407e-5, 3.986e-5, 7.307e-6, 8.396e-6, -1.852e-5, -1.912e-5
2.400e+2, 5.212e-5, 5.433e-5, 3.329e-5, 3.935e-5, 7.465e-6, 8.473e-6, -1.864e-5, -1.855e-5
2.450e+2, 5.165e-5, 5.346e-5, 3.347e-5, 3.982e-5, 6.576e-6, 8.472e-6, -1.866e-5, -1.873e-5
2.500e+2, 5.039e-5, 5.242e-5, 3.267e-5, 3.926e-5, 2.612e-5, 8.337e-6, -1.830e-5, -1.823e-5
2.550e+2, 5.063e-5, 5.235e-5, 3.314e-5, 3.911e-5, 2.107e-5, 8.128e-6, -1.824e-5, -1.778e-5
2.600e+2, 5.044e-5, 5.210e-5, 3.246e-5, 3.876e-5, 2.151e-5, 2.350e-5, -1.778e-5, -1.826e-5
2.650e+2, 4.988e-5, 5.168e-5, 3.250e-5, 3.802e-5, 2.091e-5, 2.510e-5, -1.748e-5, -1.792e-5
2.700e+2, 4.895e-5, 5.033e-5, 3.212e-5, 3.847e-5, 2.134e-5, 2.503e-5, -1.741e-5, -1.764e-5
2.750e+2, 4.827e-5, 5.057e-5, 3.158e-5, 3.805e-5, 2.048e-5, 2.517e-5, -1.725e-5, -1.734e-5
2.800e+2, 4.883e-5, 4.959e-5, 3.009e-5, 3.734e-5, 2.019e-5, 2.534e-5, -1.703e-5, -1.702e-5
2.850e+2, 4.791e-5, 4.950e-5, 3.135e-5, 3.660e-5, 2.082e-5, 2.495e-5, -1.713e-5, -1.703e-5
2.900e+2, 4.816e-5, 4.930e-5, 2.968e-5, 3.603e-5, 2.097e-5, 2.396e-5, -1.719e-5, -1.692e-5
2.950e+2, 4.790e-5, 4.868e-5, 3.059e-5, 3.673e-5, 1.929e-5, 2.410e-5, -1.675e-5, -1.669e-5
3.000e+2, 4.700e-5, 4.820e-5, 3.033e-5, 3.567e-5, 2.065e-5, 2.429e-5, -1.667e-5, -1.701e-5
3.050e+2, 4.681e-5, 4.828e-5, 3.038e-5, 3.533e-5, 2.028e-5, 2.404e-5, -1.636e-5, -1.659e-5
3.100e+2, 4.587e-5, 4.769e-5, 3.029e-5, 3.469e-5, 1.913e-5, 2.370e-5, -1.615e-5, -1.636e-5
3.150e+2, 4.598e-5, 4.692e-5, 2.946e-5, 3.540e-5, 1.879e-5, 2.325e-5, -1.580e-5, -1.604e-5
3.200e+2, 4.541e-5, 4.635e-5, 2.970e-5, 3.463e-5, 1.899e-5, 2.344e-5, -1.590e-5, -1.605e-5
3.250e+2, 4.510e-5, 4.609e-5, 2.948e-5, 3.471e-5, 1.893e-5, 2.324e-5, -1.534e-5, -1.562e-5
3.300e+2, 4.516e-5, 4.567e-5, 2.891e-5, 3.422e-5, 1.850e-5, 2.265e-5, -1.538e-5, -1.543e-5
3.350e+2, 4.441e-5, 4.510e-5, 2.914e-5, 3.396e-5, 1.867e-5, 2.247e-5, -1.537e-5, -1.546e-5
3.400e+2, 4.359e-5, 4.509e-5, 2.810e-5, 3.398e-5, 1.873e-5, 2.225e-5, -1.497e-5, -1.530e-5
3.450e+2, 4.378e-5, 4.519e-5, 2.884e-5, 3.384e-5, 1.821e-5, 2.215e-5, -1.488e-5, -1.490e-5
3.500e+2, 4.406e-5, 4.483e-5, 2.907e-5, 3.310e-5, 1.812e-5, 2.171e-5, -1.471e-5, -1.502e-5
3.550e+2, 4.321e-5, 4.410e-5, 2.794e-5, 3.231e-5, 1.787e-5, 2.115e-5, -1.458e-5, -1.519e-5
3.600e+2, 4.333e-5, 4.407e-5, 2.723e-5, 3.357e-5, 1.795e-5, 2.170e-5, -1.448e-5, -1.492e-5
3.650e+2, 4.291e-5, 4.358e-5, 2.547e-5, 3.333e-5, 1.754e-5, 2.150e-5, -1.427e-5, -1.463e-5
3.700e+2, 4.258e-5, 4.299e-5, 2.764e-5, 3.294e-5, 1.782e-5, 2.163e-5, -1.411e-5, -1.453e-5
3.750e+2, 4.246e-5, 4.326e-5, 2.574e-5, 3.178e-5, 1.770e-5, 2.107e-5, -1.396e-5, -1.419e-5
3.800e+2, 4.207e-5, 4.284e-5, 2.651e-5, 3.294e-5, 1.757e-5, 2.109e-5, -1.414e-5, -1.385e-5
3.850e+2, 4.199e-5, 4.187e-5, 2.752e-5, 3.186e-5, 1.657e-5, 2.087e-5, -1.371e-5, -1.392e-5
3.900e+2, 4.162e-5, 4.155e-5, 2.595e-5, 3.163e-5, 1.757e-5, 2.082e-5, -1.353e-5, -1.363e-5
3.950e+2, 4.141e-5, 4.186e-5, 2.558e-5, 3.110e-5, 1.661e-5, 2.035e-5, -1.325e-5, -1.369e-5
4.000e+2, 4.097e-5, 4.111e-5, 2.588e-5, 3.218e-5, 1.651e-5, 1.982e-5, -1.301e-5, -1.363e-5
4.050e+2, 4.011e-5, 4.092e-5, 2.651e-5, 3.149e-5, 1.609e-5, 2.005e-5, -1.304e-5, -1.333e-5
4.100e+2, 3.992e-5, 4.081e-5, 2.647e-5, 3.165e-5, 1.620e-5, 1.916e-5, -1.294e-5, -1.324e-5
4.150e+2, 3.992e-5, 4.023e-5, 2.524e-5, 3.010e-5, 1.608e-5, 1.967e-5, -1.280e-5, -1.293e-5
4.200e+2, 4.016e-5, 4.053e-5, 2.593e-5, 3.040e-5, 1.565e-5, 1.900e-5, -1.273e-5, -1.294e-5
4.250e+2, 3.961e-5, 4.016e-5, 2.390e-5, 3.021e-5, 1.560e-5, 1.918e-5, -1.258e-5, -1.272e-5
4.300e+2, 3.990e-5, 4.033e-5, 2.481e-5, 2.992e-5, 1.600e-5, 1.980e-5, -1.247e-5, -1.257e-5
4.350e+2, 3.993e-5, 3.993e-5, 2.470e-5, 3.009e-5, 1.591e-5, 1.884e-5, -1.228e-5, -1.245e-5
4.400e+2, 3.921e-5, 3.936e-5, 2.468e-5, 2.980e-5, 1.553e-5, 1.853e-5, -1.208e-5, -1.234e-5
4.450e+2, 3.950e-5, 3.900e-5, 2.366e-5, 2.908e-5, 1.465e-5, 1.844e-5, -1.203e-5, -1.226e-5
4.500e+2, 3.914e-5, 3.850e-5, 2.433e-5, 2.962e-5, 1.542e-5, 1.829e-5, -1.201e-5, -1.219e-5
4.550e+2, 3.873e-5, 3.851e-5, 2.400e-5, 2.811e-5, 1.478e-5, 1.856e-5, -1.191e-5, -1.205e-5
4.600e+2, 3.888e-5, 3.833e-5, 2.375e-5, 2.835e-5, 1.459e-5, 1.826e-5, -1.179e-5, -1.199e-5
4.650e+2, 3.785e-5, 3.812e-5, 2.391e-5, 2.867e-5, 1.585e-5, 1.786e-5, -1.167e-5, -1.166e-5
4.700e+2, 3.823e-5, 3.824e-5, 2.241e-5, 2.849e-5, 1.488e-5, 1.740e-5, -1.150e-5, -1.150e-5
4.750e+2, 3.849e-5, 3.840e-5, 2.213e-5, 2.868e-5, 1.492e-5, 1.713e-5, -1.138e-5, -1.158e-5
4.800e+2, 3.813e-5, 3.799e-5, 2.404e-5, 2.834e-5, 1.423e-5, 1.682e-5, -1.129e-5, -1.132e-5
4.850e+2, 3.780e-5, 3.802e-5, 2.313e-5, 2.800e-5, 1.512e-5, 1.689e-5, -1.110e-5, -1.128e-5
4.900e+2, 3.759e-5, 3.770e-5, 2.311e-5, 2.759e-5, 1.480e-5, 1.689e-5, -1.118e-5, -1.107e-5
4.950e+2, 3.790e-5, 3.734e-5, 2.268e-5, 2.692e-5, 1.356e-5, 1.681e-5, -1.109e-5, -1.125e-5
5.000e+2, 3.754e-5, 3.704e-5, 2.272e-5, 2.661e-5, 1.436e-5, 1.723e-5, -1.083e-5, -1.087e-5
5.050e+2, 3.720e-5, 3.649e-5, 2.284e-5, 2.642e-5, 1.336e-5, 1.737e-5, -1.067e-5, -1.082e-5
5.100e+2, 3.658e-5, 3.679e-5, 2.301e-5, 2.667e-5, 1.401e-5, 1.667e-5, -1.079e-5, -1.076e-5
5.150e+2, 3.704e-5, 3.651e-5, 1.962e-5, 2.699e-5, 1.492e-5, 1.643e-5, -1.059e-5, -1.067e-5
5.200e+2, 3.656e-5, 3.586e-5, 2.226e-5, 2.677e-5, 1.446e-5, 1.677e-5, -1.047e-5, -1.044e-5
5.250e+2, 3.571e-5, 3.582e-5, 2.208e-5, 2.648e-5, 1.372e-5, 1.653e-5, -1.046e-5, -1.045e-5
5.300e+2, 3.598e-5, 3.585e-5, 2.151e-5, 2.579e-5, 1.404e-5, 1.572e-5, -1.027e-5, -1.031e-5
5.350e+2, 3.580e-5, 3.580e-5, 2.111e-5, 2.574e-5, 1.453e-5, 1.601e-5, -9.968e-6, -1.013e-5
5.400e+2, 3.559e-5, 3.514e-5, 2.062e-5, 2.628e-5, 1.336e-5, 1.614e-5, -9.956e-6, -1.027e-5
5.450e+2, 3.566e-5, 3.564e-5, 2.085e-5, 2.621e-5, 1.316e-5, 1.551e-5, -9.853e-6, -9.906e-6
5.500e+2, 3.493e-5, 3.541e-5, 2.205e-5, 2.621e-5, 1.331e-5, 1.537e-5, -9.679e-6, -9.961e-6
5.550e+2, 3.530e-5, 3.523e-5, 2.213e-5, 2.632e-5, 1.296e-5, 1.571e-5, -9.728e-6, -9.984e-6
5.600e+2, 3.497e-5, 3.468e-5, 2.082e-5, 2.545e-5, 1.414e-5, 1.550e-5, -9.664e-6, -9.707e-6
5.650e+2, 3.532e-5, 3.464e-5, 2.179e-5, 2.613e-5, 1.282e-5, 1.481e-5, -9.423e-6, -9.708e-6
5.700e+2, 3.510e-5, 3.474e-5, 1.910e-5, 2.553e-5, 1.260e-5, 1.483e-5, -9.366e-6, -9.584e-6
5.750e+2, 3.516e-5, 3.454e-5, 2.074e-5, 2.538e-5, 1.367e-5, 1.438e-5, -9.160e-6, -9.465e-6
5.800e+2, 3.502e-5, 3.443e-5, 2.049e-5, 2.582e-5, 1.355e-5, 1.454e-5, -9.169e-6, -9.612e-6
5.850e+2, 3.413e-5, 3.417e-5, 1.954e-5, 2.540e-5, 1.199e-5, 1.472e-5, -9.027e-6, -9.168e-6
5.900e+2, 3.456e-5, 3.404e-5, 2.101e-5, 2.497e-5, 1.221e-5, 1.412e-5, -8.978e-6, -9.230e-6
5.950e+2, 3.397e-5, 3.366e-5, 2.098e-5, 2.446e-5, 1.328e-5, 1.440e-5, -8.879e-6, -9.181e-6
6.000e+2, 3.346e-5, 3.398e-5, 2.097e-5, 2.452e-5, 1.222e-5, 1.416e-5, -8.770e-6, -9.002e-6
6.050e+2, 3.327e-5, 3.363e-5, 2.011e-5, 2.520e-5, 1.240e-5, 1.374e-5, -8.716e-6, -8.937e-6
6.100e+2, 3.382e-5, 3.336e-5, 2.063e-5, 2.456e-5, 1.221e-5, 1.451e-5, -8.545e-6, -8.934e-6
6.150e+2, 3.379e-5, 3.338e-5, 1.926e-5, 2.453e-5, 1.204e-5, 1.427e-5, -8.387e-6, -8.790e-6
6.200e+2, 3.379e-5, 3.380e-5, 2.049e-5, 2.487e-5, 1.213e-5, 1.340e-5, -8.389e-6, -8.539e-6
6.250e+2, 3.378e-5, 3.347e-5, 2.084e-5, 2.410e-5, 1.217e-5, 1.361e-5, -8.209e-6, -8.698e-6
6.300e+2, 3.376e-5, 3.319e-5, 1.932e-5, 2.410e-5, 1.304e-5, 1.346e-5, -8.026e-6, -8.567e-6
6.350e+2, 3.363e-5, 3.298e-5, 2.035e-5, 2.475e-5, 1.157e-5, 1.337e-5, -8.115e-6, -8.503e-6
6.400e+2, 3.350e-5, 3.271e-5, 2.000e-5, 2.382e-5, 1.246e-5, 1.333e-5, -8.052e-6, -8.332e-6
6.450e+2, 3.297e-5, 3.294e-5, 1.825e-5, 2.278e-5, 1.192e-5, 1.306e-5, -7.948e-6, -8.209e-6
6.500e+2, 3.245e-5, 3.282e-5, 1.907e-5, 2.431e-5, 1.185e-5, 1.375e-5, -7.752e-6, -8.167e-6
6.550e+2, 3.272e-5, 3.276e-5, 1.859e-5, 2.346e-5, 1.154e-5, 1.292e-5, -7.726e-6, -8.219e-6
6.600e+2, 3.227e-5, 3.253e-5, 1.999e-5, 2.385e-5, 1.186e-5, 1.280e-5, -7.583e-6, -7.982e-6
6.650e+2, 3.226e-5, 3.205e-5, 1.919e-5, 2.435e-5, 1.166e-5, 1.278e-5, -7.647e-6, -7.995e-6
6.700e+2, 3.255e-5, 3.258e-5, 1.859e-5, 2.402e-5, 1.167e-5, 1.296e-5, -7.525e-6, -7.914e-6
6.750e+2, 3.209e-5, 3.247e-5, 1.873e-5, 2.373e-5, 1.158e-5, 1.233e-5, -7.424e-6, -7.861e-6
6.800e+2, 3.214e-5, 3.229e-5, 1.867e-5, 2.338e-5, 1.162e-5, 1.274e-5, -7.445e-6, -7.745e-6
6.850e+2, 3.226e-5, 3.169e-5, 1.789e-5, 2.437e-5, 1.076e-5, 1.245e-5, -7.230e-6, -7.562e-6
6.900e+2, 3.183e-5, 3.229e-5, 1.969e-5, 2.364e-5, 1.113e-5, 1.222e-5, -7.164e-6, -7.499e-6
6.950e+2, 3.218e-5, 3.205e-5, 1.906e-5, 2.307e-5, 1.094e-5, 1.199e-5, -7.156e-6, -7.575e-6
7.000e+2, 3.231e-5, 3.214e-5, 1.863e-5, 2.326e-5, 1.198e-5, 1.205e-5, -7.121e-6, -7.495e-6
7.050e+2, 3.214e-5, 3.199e-5, 1.867e-5, 2.286e-5, 1.140e-5, 1.256e-5, -7.016e-6, -7.465e-6
7.100e+2, 3.209e-5, 3.160e-5, 1.913e-5, 2.284e-5, 1.138e-5, 1.190e-5, -6.970e-6, -7.392e-6
7.150e+2, 3.149e-5, 3.110e-5, 1.696e-5, 2.177e-5, 1.075e-5, 1.211e-5, -6.812e-6, -7.084e-6
7.200e+2, 3.156e-5, 3.147e-5, 1.806e-5, 2.259e-5, 1.028e-5, 1.173e-5, -6.848e-6, -7.131e-6
7.250e+2, 3.122e-5, 3.127e-5, 1.756e-5, 2.317e-5, 1.135e-5, 1.201e-5, -6.734e-6, -6.959e-6
7.300e+2, 3.141e-5, 3.151e-5, 1.903e-5, 2.299e-5, 1.078e-5, 1.170e-5, -6.743e-6, -7.009e-6
7.350e+2, 3.135e-5, 3.179e-5, 1.812e-5, 2.215e-5, 1.116e-5, 1.164e-5, -6.612e-6, -7.030e-6
7.400e+2, 3.078e-5, 3.153e-5, 1.794e-5, 2.263e-5, 1.057e-5, 1.157e-5, -6.577e-6, -6.828e-6
7.450e+2, 3.105e-5, 3.133e-5, 1.713e-5, 2.278e-5, 1.018e-5, 1.131e-5, -6.467e-6, -6.724e-6
7.500e+2, 3.070e-5, 3.139e-5, 1.789e-5, 2.243e-5, 1.038e-5, 1.096e-5, -6.543e-6, -6.714e-6
7.550e+2, 3.139e-5, 3.123e-5, 1.768e-5, 2.219e-5, 9.850e-6, 1.120e-5, -6.432e-6, -6.645e-6
7.600e+2, 3.096e-5, 3.104e-5, 1.823e-5, 2.208e-5, 1.100e-5, 1.147e-5, -6.267e-6, -6.525e-6
7.650e+2, 3.049e-5, 3.109e-5, 1.800e-5, 2.229e-5, 1.043e-5, 1.131e-5, -6.264e-6, -6.316e-6
7.700e+2, 3.078e-5, 3.105e-5, 1.688e-5, 2.187e-5, 9.907e-6, 1.117e-5, -6.059e-6, -6.310e-6
7.750e+2, 3.036e-5, 3.104e-5, 1.774e-5, 2.191e-5, 1.016e-5, 1.085e-5, -6.095e-6, -6.363e-6
7.800e+2, 3.009e-5, 3.063e-5, 1.839e-5, 2.172e-5, 1.117e-5, 1.078e-5, -6.100e-6, -6.353e-6
7.850e+2, 3.010e-5, 3.065e-5, 1.825e-5, 2.210e-5, 9.839e-6, 1.060e-5, -6.013e-6, -6.200e-6
7.900e+2, 3.032e-5, 3.071e-5, 1.714e-5, 2.169e-5, 9.856e-6, 1.085e-5, -5.844e-6, -6.284e-6
7.950e+2, 3.029e-5, 3.081e-5, 1.715e-5, 2.189e-5, 8.979e-6, 1.060e-5, -5.914e-6, -6.131e-6
8.000e+2, 3.011e-5, 3.062e-5, 1.621e-5, 2.139e-5, 1.017e-5, 1.127e-5, -5.922e-6, -6.001e-6
8.050e+2, 2.994e-5, 3.038e-5, 1.685e-5, 2.164e-5, 8.922e-6, 1.100e-5, -5.679e-6, -5.914e-6
8.100e+2, 2.946e-5, 3.058e-5, 1.543e-5, 2.202e-5, 8.811e-6, 1.104e-5, -5.687e-6, -6.015e-6
8.150e+2, 2.979e-5, 3.020e-5, 1.703e-5, 2.170e-5, 8.948e-6, 1.060e-5, -5.627e-6, -5.922e-6
8.200e+2, 2.928e-5, 3.033e-5, 1.789e-5, 2.078e-5, 8.785e-6, 1.063e-5, -5.599e-6, -5.834e-6
8.250e+2, 2.976e-5, 3.040e-5, 1.596e-5, 2.190e-5, 8.922e-6, 1.071e-5, -5.547e-6, -5.809e-6
8.300e+2, 3.013e-5, 3.039e-5, 1.674e-5, 2.065e-5, 7.879e-6, 1.138e-5, -5.485e-6, -5.752e-6
8.350e+2, 2.970e-5, 3.054e-5, 1.665e-5, 2.139e-5, 8.848e-6, 1.078e-5, -5.394e-6, -5.676e-6
8.400e+2, 2.941e-5, 3.067e-5, 1.769e-5, 2.137e-5, 8.446e-6, 1.059e-5, -5.420e-6, -5.561e-6
8.450e+2, 2.984e-5, 3.056e-5, 1.786e-5, 2.197e-5, 8.461e-6, 1.025e-5, -5.323e-6, -5.575e-6
8.500e+2, 2.961e-5, 3.019e-5, 1.591e-5, 2.060e-5, 8.664e-6, 1.085e-5, -5.298e-6, -5.511e-6
8.550e+2, 2.952e-5, 2.999e-5, 1.670e-5, 2.067e-5, 7.591e-6, 1.081e-5, -5.287e-6, -5.408e-6
8.600e+2, 2.930e-5, 2.998e-5, 1.808e-5, 2.192e-5, 8.156e-6, 1.050e-5, -5.212e-6, -5.327e-6
8.650e+2, 2.970e-5, 2.985e-5, 1.698e-5, 2.160e-5, 8.331e-6, 1.024e-5, -5.067e-6, -5.384e-6
8.700e+2, 2.968e-5, 2.989e-5, 1.804e-5, 2.030e-5, 8.188e-6, 1.010e-5, -4.996e-6, -5.405e-6
8.750e+2, 2.947e-5, 3.003e-5, 1.688e-5, 2.068e-5, 8.322e-6, 1.005e-5, -5.008e-6, -5.484e-6
8.800e+2, 2.985e-5, 2.998e-5, 1.678e-5, 2.057e-5, 8.572e-6, 1.033e-5, -5.069e-6, -5.299e-6
8.850e+2, 2.932e-5, 2.918e-5, 1.777e-5, 2.072e-5, 6.823e-6, 9.896e-6, -4.952e-6, -5.239e-6
8.900e+2, 2.887e-5, 2.943e-5, 1.752e-5, 2.072e-5, 7.576e-6, 1.025e-5, -4.923e-6, -5.161e-6
8.950e+2, 2.960e-5, 2.984e-5, 1.718e-5, 2.081e-5, 7.555e-6, 1.064e-5, -4.802e-6, -5.008e-6
9.000e+2, 2.947e-5, 3.073e-5, 1.545e-5, 2.031e-5, 7.718e-6, 9.740e-6, -4.807e-6, -5.026e-6
9.050e+2, 2.935e-5, 3.088e-5, 1.660e-5, 2.016e-5, 7.845e-6, 9.860e-6, -4.744e-6, -4.915e-6
9.100e+2, 2.910e-5, 3.097e-5, 1.620e-5, 1.997e-5, 7.458e-6, 9.679e-6, -4.714e-6, -4.938e-6
9.150e+2, 2.912e-5, 3.108e-5, 1.586e-5, 2.043e-5, 7.352e-6, 9.116e-6, -4.698e-6, -4.982e-6
9.200e+2, 2.917e-5, 3.020e-5, 1.625e-5, 2.051e-5, 7.610e-6, 9.370e-6, -4.603e-6, -4.793e-6
9.250e+2, 2.897e-5, 3.077e-5, 1.645e-5, 2.022e-5, 7.322e-6, 8.961e-6, -4.582e-6, -4.776e-6
9.300e+2, 2.879e-5, 3.082e-5, 1.610e-5, 2.038e-5, 7.853e-6, 9.301e-6, -4.530e-6, -4.767e-6
9.350e+2, 2.894e-5, 3.019e-5, 1.600e-5, 2.003e-5, 7.933e-6, 9.367e-6, -4.514e-6, -4.671e-6
9.400e+2, 2.911e-5, 3.041e-5, 1.659e-5, 2.006e-5, 7.708e-6, 9.383e-6, -4.394e-6, -4.700e-6
9.450e+2, 2.906e-5, 3.023e-5, 1.610e-5, 1.923e-5, 6.934e-6, 8.830e-6, -4.456e-6, -4.630e-6
9.500e+2, 2.911e-5, 3.000e-5, 1.623e-5, 1.948e-5, 8.017e-6, 8.807e-6, -4.452e-6, -4.486e-6
9.550e+2, 2.882e-5, 3.044e-5, 1.700e-5, 1.990e-5, 7.729e-6, 9.200e-6, -4.302e-6, -4.434e-6
9.600e+2, 2.903e-5, 3.095e-5, 1.532e-5, 1.990e-5, 7.004e-6, 8.990e-6, -4.249e-6, -4.463e-6
